Author,Birth Year,Death Year
"Howells, William Dean",1837.0,1920.0
"Howes, Ethel Puffer",1872.0,1950.0
"Hueffer, Oliver Madox",1876.0,1931.0
"Hughson, Shirley Carter",1867.0,1949.0
"Hujviri, ‘Ali ibn ‘Usman",,
"Hume, David",1711.0,1776.0
"Hurlbut, Jesse Lyman",1843.0,1930.0
"Husik, Isaac",1876.0,1939.0
"Hussain, Ahmed, Sir",1863.0,
Husserl,1859.0,1938.0
"Husted, Michael",,
"Hutchinson, Thomas",1711.0,1780.0
"Huxley, Thomas Henry",1825.0,1895.0
"Huysmans, J.-K. (Joris-Karl)",1848.0,1907.0
"Hyde, William De Witt",1858.0,1917.0
"Hügel, Friedrich, Freiherr von",1852.0,1925.0
Iamblichus,,
"Ibn Tufayl, Muhammad ibn 'Abd al-Malik",,1185.0
"Ibsen, Henrik",1828.0,1906.0
"Ingersoll, Robert Green",1833.0,1899.0
"Inman, Thomas",1820.0,1876.0
"Innes, A. Taylor (Alexander Taylor)",1833.0,1912.0
"Iqbal, Muhammad, Sir",1877.0,1938.0
"Irving, Washington",1783.0,1859.0
"Iyenaga, T. (Toyokichi)",1862.0,1936.0
"Jacox, Francis",1825.0,1897.0
"James, William",1842.0,1910.0
"Jameson, Mrs. (Anna)",1794.0,1860.0
"Jarrett, Bede",1881.0,1934.0
"Jefferson, Thomas",1743.0,1826.0
"Jellinek, Georg",1851.0,1911.0
"Jennings, Hargrave",,1890.0
"Jessopp, Augustus",1823.0,1914.0
"Johnstone, James",1870.0,1932.0
"Jomini, Antoine Henri, baron de",1779.0,1869.0
"Jonson, Ben",,1637.0
"Jourdain, Eleanor F. (Eleanor Frances)",1863.0,1924.0
"Jowett, John Henry",1864.0,1923.0
"Jung, C. G. (Carl Gustav)",1875.0,1961.0
"Kafka, Franz",1883.0,1924.0
Kagemna,,
"Kanada, Yasumasa",1949.0,2020.0
"Kane, William T. (William Terence)",1880.0,1946.0
"Kant, Immanuel",1724.0,1804.0
"Keble, John",1792.0,1866.0
"Keisch, Bernard",1932.0,
"Keister, Lawrence",,
"Keller, Helen",1880.0,1968.0
"Kellner, K. A. Heinrich (Karl Adam Heinrich)",1837.0,1915.0
"Kellogg, Samuel H. (Samuel Henry)",1839.0,1899.0
"Kelvin, William Thomson, Baron",1824.0,1907.0
"Kennon, J. L.",,
"Kerr, Stan",,
"Khuda Bukhsh, S. (Salahuddin)",1877.0,1931.0
"Kierkegaard, Søren",1813.0,1855.0
"Killen, W. D. (William Dool)",1806.0,1902.0
"Kingsford, Anna Bonus",1846.0,1888.0
"Kipling, Rudyard",1865.0,1936.0
"Kirlew, Marianne",,
"Kittredge, George Lyman",1860.0,1941.0
"Knerr, M. E. (Michael E.)",1936.0,1999.0
"Knowles, James",1811.0,1886.0
"Kohler, Kaufmann",1843.0,1926.0
"Koppenhaver, Carl E.",,
"Kornbluth, C. M. (Cyril M.)",1923.0,1958.0
"Kozminsky, Isidore",1870.0,
"Kropotkin, Petr Alekseevich, kniaz",1842.0,1921.0
Kṛṣṇadāsa Kavirāja Gosvāmi,1518.0,
"Labriola, Antonio",1843.0,1904.0
"Laing, S. (Samuel)",1812.0,1897.0
"Lamont, Gordon",,
"Lamplugh, F.",,
"Langland, William",,
"Lansing, Robert",1864.0,1928.0
Laozi,,
"Laplace, Pierre Simon, marquis de",1749.0,1827.0
"Lavater, Ludwig",1527.0,1586.0
"Lavoisier, Antoine Laurent",1743.0,1794.0
"LeCompte, Robert G.",,
"LeConte, Joseph",1823.0,1901.0
"Leach, Orville Livingston",,
"Leadbeater, C. W. (Charles Webster)",1854.0,1934.0
"Leatherbee, E. B. (Ethel Brigham)",1878.0,1955.0
"Lebert, Marie",,
"Lecky, William Edward Hartpole",1838.0,1903.0
"Ledderhose, Karl Friedrich",1806.0,1890.0
"Lefebure, Victor",,
"Leffingwell, Albert",1845.0,1916.0
"Lehmer, Derrick Norman",1867.0,1938.0
"Lehrs, Ernst",1894.0,1979.0
"Leiber, Fritz",1910.0,1992.0
"Leibniz, Gottfried Wilhelm, Freiherr von",1646.0,1716.0
"Leland, Charles Godfrey",1824.0,1903.0
"Lemley, John",1843.0,
"Leroux, Gaston",1868.0,1927.0
"Leslie, Eliza",1787.0,1858.0
"Leuba, James H. (James Henry)",1868.0,1946.0
"Liebig, Justus, Freiherr von",1803.0,1873.0
"Liguori, Alfonso Maria de', Saint",1696.0,1787.0
"Lillie, Arthur",1831.0,1911.0
"Lilly, William",1602.0,1681.0
"Lincoln, Abraham",1809.0,1865.0
"Lindlahr, Henry",1862.0,1924.0
"Linebarger, Paul Myron Anthony",1913.0,1966.0
"Lings, Albert A.",,1915.0
"Linton, E. Lynn (Elizabeth Lynn)",1822.0,1898.0
"Lippmann, Walter",1889.0,1974.0
"Lisle, Lionel",,
"Livingstone, W. P. (William Pringle)",1864.0,1950.0
"Llull, Ramon",,1316.0
"Locke, John",1632.0,1704.0
"Lockwood, Ingersoll",1841.0,1918.0
"Logan, John Alexander",1826.0,1886.0
"Loisette, A. (Alphonse)",,
"Lomax, Louis E.",1922.0,1970.0
"Lombroso, Cesare",1835.0,1909.0
"Longinus, active 1st century",,
"Longley, Mary T. (Mary Theresa)",1853.0,1928.0
"Lorentz, H. A. (Hendrik Antoon)",1853.0,1928.0
"Lorenz, Edmund S. (Edmund Simon)",1854.0,1942.0
"Loria, Achille",1857.0,1943.0
"Loughlin, James F.",1851.0,1911.0
"Lovecraft, H. P. (Howard Phillips)",1890.0,1937.0
"Lozo, Fredric B.",1941.0,
"Lubbock, John, Sir",1834.0,1913.0
"Lucian, of Samosata",120.0,180.0
